id,rank,workers,company,url,state_l,state_s,city,growth,revenue,ifmid,ifiid,metro,industry,yrs_on_list
9162,4766,14887,Exact Staff,exact-staff,California,CA,Woodland Hills,47.9807,65002000,2,21,Los Angeles,Human Resources,4
6674,4768,112,Pure Romance,pure-romance,Ohio,OH,Cincinnati,47.928,163953257,47,4,Cincinnati,Consumer Products & Services,4
44524,4770,463,Union Home Mortgage,union-home-mortgage,Ohio,OH,Strongsville,47.9171,69156347,79,2,Cleveland,Financial Services,1
2919,4771,370,HealthHelp,healthhelp,Texas,TX,Houston,47.918,56414030,22,10,Houston,Health,10
18679,4772,801,Cooley,cooley,New York,NY,New York,47.812,912000000,998,17,,Business Products & Services,3
1154,4774,1457,InGenesis,ingenesis,Texas,TX,San Antonio,47.7541,123122770,14,17,"San Antonio, TX",Business Products & Services,9
22479,4779,273,Steven Douglas Associates,steven-douglas-associates,Florida,FL,Sunrise,47.6394,40841870,1,21,Miami,Human Resources,5
21533,4781,110,Hiatus Spa + Retreat,hiatus-spa-retreat,Texas,TX,Dallas,47.619,5375252,8,4,Dallas,Consumer Products & Services,5
44528,4782,136,P&A Group,pa-group,New York,NY,Buffalo,47.5524,11737526,1032,17,"Buffalo-Cheektowaga-Niagara Falls, NY",Business Products & Services,1
20301,4783,204,NEST,nest,New Jersey,NJ,Gloucester,47.5123,81728554,49,17,Philadelphia,Business Products & Services,6
3266,4784,296,NovaCopy,novacopy,Tennessee,TN,Nashville,47.4862,69209940,82,17,Nashville,Business Products & Services,10
26042,4785,110,Momentum Consulting,momentum-consulting,Florida,FL,Miami Lakes,47.4634,17600814,1,8,Miami,IT Services,3
1778,4787,3612,TransPerfect,transperfect,New York,NY,New York,47.378,504599185,9,17,New York City,Business Products & Services,9
44530,4789,495,Ammex,ammex,Washington,WA,Kent,47.31,89941056,23,15,Seattle,Manufacturing,1
20823,4790,656,Workplace options,workplace-options,North Carolina,NC,Raleigh,47.3067,56517998,1029,21,"Raleigh, NC",Human Resources,6
18885,4796,1106,Ropes & Gray,ropes-gray,Massachusetts,MA,Boston,47.0899,1390000000,6,17,Boston,Business Products & Services,4
44532,4799,104,Villa Lighting Supply,villa-lighting-supply,Missouri,MO,St. Louis,47.0241,159232771,74,17,"St. Louis, MO-IL",Business Products & Services,1
1304,4800,155,Safety Services Company,safety-services-company,Arizona,AZ,Tempe,46.9588,25198783,46,19,Phoenix,Education,9
6987,4803,3100,Technosoft,technosoft,Michigan,MI,Southfield,46.8985,123216267,50,8,Detroit,IT Services,3
44536,4810,102,DMSi,dmsi,Nebraska,NE,Omaha,46.7508,24421415,97,9,"Omaha-Council Bluffs, NE-IA",Software,1
44537,4813,640,Milk Specialties Global,milk-specialties-global,Minnesota,MN,Eden Prairie,46.5473,736186000,13,15,Minneapolis,Manufacturing,1
